id;name; price ;weight;thumbnail;reference;ean;description;date_upd;articleGroup;category;category_full;category_id;attribute;features;sale_price;stock;Images;image_0;primary_image;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11
1;SCRAPER AND REMOVER SET -5PCS; 43.12 ;15;https://sptools.eu/img/tmp/product_mini_6402.jpg;SP30865;9330514042755;"<div>
<ul>
<li>Set of 5 scrapers and removers</li>
</ul>
</div>";6-1-2026 12:42;3;Pry Bars, Hooks, Scrapers & Brushes;Specialty Tools >Pry Bars, Hooks, Scrapers & Brushes;314;0;;30;1;https://sptools.eu/6402/scraper-and-remover-set-5pcs.jpg;https://sptools.eu/6402/scraper-and-remover-set-5pcs.jpg;https://sptools.eu/6402/scraper-and-remover-set-5pcs.jpg;;;;;;;;;;;
25;TOOL BOX DRAWER TRAY CUSTOM SERIES 170MM WIDE; 18.30 ;12;https://sptools.eu/img/tmp/product_mini_25.jpg;SP40151;9330514012697;"<div>
  <h2>Keep Your Tool Kit Organized with Ease</h2>
  <p>Compatible with all SP Tool Boxes &amp; Roll Cabs</p>
  <h2>Key Features:</h2>
  <ul>
    <li>Efficiently organizes your tool kit drawers, making it simple to locate frequently used tools</li>
    <li>Made from durable and lightweight steel</li>
    <li>Front and rear lip for easy pick-up and removal from drawer</li>
    <li>Dimensions: 380mm x 180mm x 55mm</li>
  </ul>
</div>";6-1-2026 12:17;3;Storage Trays;Storage Solutions>Storage Trays;146;0;;12;1;https://sptools.eu/25/custom-series-tool-tray-tidy-system-380-x-175mm.jpg;https://sptools.eu/25/custom-series-tool-tray-tidy-system-380-x-175mm.jpg;https://sptools.eu/25/custom-series-tool-tray-tidy-system-380-x-175mm.jpg;;;;;;;;;;;
26;"SOCKET SET 42PC 1/4""DR & 3/8""DR METRIC/SAE"; 130.86 ;26;https://sptools.eu/img/tmp/product_mini_1393.jpg;SP20601;9330514023921;"<div>
  <p><strong>Get all these tools in one set:</strong></p>
  <p><strong>1/4”Dr 12pt Sockets &amp; Accessories</strong></p>
  <ul>
    <li>Metric Sockets: 4, 5, 6, 7, 8, 9 &amp; 10mm</li>
    <li>SAE Sockets: 3/16, 7/32, 1/4, 9/32, 5/16, 11/32 &amp; 3/8”</li>
    <li>45T Ratchet</li>
    <li>Wobble Extension Bars - 50 &amp; 150mm</li>
  </ul>
  <p><strong>3/8”Dr 12pt Sockets &amp; Accessories</strong></p>
  <ul>
    <li>Metric Sockets: 10, 11, 12, 13, 14, 15, 16, 17, 18 &amp; 19mm</li>
    <li>SAE Sockets: 3/8, 7/16, 1/2, 9/16, 5/8, 11/16 &amp; 3/4”</li>
    <li>45T Ratchet</li>
    <li>Flex Handle</li>
    <li>Wobble Extension Bars - 75 &amp; 150mm</li>
    <li>Universal Joint</li>
    <li>Spark Plug Sockets - 5/8</li>
  </ul>
</div>";6-1-2026 14:13;3;"3/8"" Series";"Sockets & Accessories>Sockets Individual>3/8"" Series";44;0;;130,86;1;https://sptools.eu/1393/socket-set-42pc-1-4-3-8dr-metric-sae-in-x-case.jpg;https://sptools.eu/1393/socket-set-42pc-1-4-3-8dr-metric-sae-in-x-case.jpg;https://sptools.eu/1393/socket-set-42pc-1-4-3-8dr-metric-sae-in-x-case.jpg;;;;;;;;;;;
28;"1/4"" SOCKET RAIL 12PT 9PC SAE DEEP"; 44.28 ;17;https://sptools.eu/img/tmp/product_mini_1394.jpg;SP20143;9330514023976;"<p><strong>FEATURES:</strong><br />• Manufactured from Chrome Vanadium steel ensures high quality and durable sockets.<br />• High polish finishes provide for an easy clean-up.<br />• Twin knurling allows for improved grip, especially useful in oily/greasy conditions.<br />• All SP sockets and accessories meet or exceed ANSI &amp; DIN standards.</p>
<p><strong><span>SET INCLUDES:</span></strong> <br /><strong>1/4”Dr Deep Sockets - 12 Point<br /></strong>• SAE - 3/16, 7/32, 1/4, 9/32, 5/16, 11/32, 3/8, 7/16 &amp; 1/2”<br />• 1 x Socket Rail</p>";6-1-2026 14:18;3;Socket Rails;Sockets & Accessories>Socket Rails;45;0;;31;1;https://sptools.eu/1394/socket-rail-set-9pc-1-4dr-12pt-deep-sae.jpg|https://sptools.eu/10234/socket-rail-set-9pc-1-4dr-12pt-deep-sae.jpg;https://sptools.eu/1394/socket-rail-set-9pc-1-4dr-12pt-deep-sae.jpg;https://sptools.eu/10234/socket-rail-set-9pc-1-4dr-12pt-deep-sae.jpg;https://sptools.eu/10234/socket-rail-set-9pc-1-4dr-12pt-deep-sae.jpg;;;;;;;;;;
30;SOCKET RAIL 1/2DR SAE 11PC 12-POINT; 55.73 ;11;https://sptools.eu/img/tmp/product_mini_1395.jpg;SP20331;9330514014684;"<p><strong>FEATURES:</strong><br />• Manufactured from Chrome Vanadium steel ensures high quality and durable sockets.<br />• High polish finishes provide for an easy clean-up.<br />• Twin knurling allows for improved grip, especially useful in oily/greasy conditions.<br />• All SP sockets and accessories meet or exceed ANSI &amp; DIN standards.</p><p><strong><span>SET INCLUDES:</span></strong>  <br /><strong>1/2”Dr Sockets - 12 Point<br /></strong>• SAE - 3/8, 7/16, 1/2, 9/16, 5/8, 11/16, 3/4, 13/16, 7/8, 15/16 &amp; 1”<br />• 1 x Socket Rail</p>";6-1-2026 14:16;3;Socket Rails;Sockets & Accessories>Socket Rails;45;0;;38;0;https://sptools.eu/1395/socket-rail-set-11pc-1-2dr-12pt-sae.jpg;https://sptools.eu/1395/socket-rail-set-11pc-1-2dr-12pt-sae.jpg;https://sptools.eu/1395/socket-rail-set-11pc-1-2dr-12pt-sae.jpg;;;;;;;;;;;
31;SOCKET RAIL 1/2DR SAE 11PC 12-POINT; 55.73 ;11;https://sptools.eu/img/tmp/product_mini_10235.jpg;SP20333;9330514023990;"<p><strong>FEATURES:</strong><br />• Manufactured from Chrome Vanadium steel ensures high quality and durable sockets.<br />• High polish finishes provide for an easy clean-up.<br />• Twin knurling allows for improved grip, especially useful in oily/greasy conditions.<br />• All SP sockets and accessories meet or exceed ANSI &amp; DIN standards.</p>
<p><strong><span>SET INCLUDES:</span></strong> <br /><strong>1/2”Dr Sockets - 12 Point<br /></strong>• SAE - 3/8, 7/16, 1/2, 9/16, 5/8, 11/16, 3/4, 13/16, 7/8, 15/16 &amp; 1”<br />• 1 x Socket Rail</p>";6-1-2026 14:16;3;Socket Rails;Sockets & Accessories>Socket Rails;45;0;;38;1;https://sptools.eu/1396/socket-rail-set-11pc-1-2dr-6pt-sae.jpg|https://sptools.eu/10235/socket-rail-set-11pc-1-2dr-6pt-sae.jpg;https://sptools.eu/1396/socket-rail-set-11pc-1-2dr-6pt-sae.jpg;https://sptools.eu/10235/socket-rail-set-11pc-1-2dr-6pt-sae.jpg;https://sptools.eu/10235/socket-rail-set-11pc-1-2dr-6pt-sae.jpg;;;;;;;;;;
32;SOCKET RAIL 1/2DR DEEP METRIC 12PC 12-POINT; 89.88 ;18;https://sptools.eu/img/tmp/product_mini_1397.jpg;SP20340;9330514011560;"<p><strong>FEATURES:</strong><br />• Manufactured from Chrome Vanadium steel ensures high quality and durable sockets.<br />• High polish finishes provide for an easy clean-up.<br />• Twin knurling allows for improved grip, especially useful in oily/greasy conditions.<br />• All SP sockets and accessories meet or exceed ANSI &amp; DIN standards.</p><p><strong><span>SET INCLUDES:</span></strong>  <br /><strong>1/2”Dr Deep Sockets - 12 Point<br /></strong>• Metric - 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22 &amp; 24mm<br />• 1 x Socket Rail</p>";6-1-2026 14:16;3;Socket Rails;Sockets & Accessories>Socket Rails;45;0;;61;1;https://sptools.eu/1397/socket-rail-set-12pc-1-2dr-12pt-deep-metric.jpg;https://sptools.eu/1397/socket-rail-set-12pc-1-2dr-12pt-deep-metric.jpg;https://sptools.eu/1397/socket-rail-set-12pc-1-2dr-12pt-deep-metric.jpg;;;;;;;;;;;
33;SOCKET RAIL 1/2DR DEEP SAE 11PC 12-POINT; 89.88 ;18;https://sptools.eu/img/tmp/product_mini_1398.jpg;SP20341;9330514011577;"<p><strong>FEATURES:</strong><br />• Manufactured from Chrome Vanadium steel ensures high quality and durable sockets.<br />• High polish finishes provide for an easy clean-up.<br />• Twin knurling allows for improved grip, especially useful in oily/greasy conditions.<br />• All SP sockets and accessories meet or exceed ANSI &amp; DIN standards.</p><p><strong><span>SET INCLUDES:</span></strong>  <br /><strong>1/2”Dr Deep Sockets - 12 Point<br /></strong>• SAE - 3/8, 7/16, 1/2, 9/16, 5/8, 11/16, 3/4, 13/16, 7/8, 15/16 &amp; 1”<br />• 1 x Socket Rail</p>";6-1-2026 14:16;3;Socket Rails;Sockets & Accessories>Socket Rails;45;0;;65;1;https://sptools.eu/1398/socket-rail-set-11pc-1-2dr-12pt-deep-sae.jpg;https://sptools.eu/1398/socket-rail-set-11pc-1-2dr-12pt-deep-sae.jpg;https://sptools.eu/1398/socket-rail-set-11pc-1-2dr-12pt-deep-sae.jpg;;;;;;;;;;;
34;SOCKET RAIL 1/4&3/8DR TORX 12PC; 49.43 ;20;https://sptools.eu/img/tmp/product_mini_1399.jpg;SP20440;9330514012475;"<p><strong>FEATURES:</strong><br />• Manufactured from Chrome Vanadium steel ensures high quality and durable sockets.<br />• High polish finishes provide for an easy clean-up.<br />• Twin knurling allows for improved grip, especially useful in oily/greasy conditions.<br />• All SP sockets and accessories meet or exceed ANSI &amp; DIN standards.</p><p><strong><span>SET INCLUDES:</span></strong>  <br /><strong>1/4”Dr Torx Sockets</strong><strong><br /></strong>• Torx - T10, T15, T20 &amp; T25<br /><br /><strong>3/8”Dr Torx Sockets</strong><strong><br /></strong>• Torx - T27, T30, T40, T45, T50 &amp; T55<br />• Adapter Fx1/4” M</p><p><strong>1 x Socket Rail</strong><br /><strong> </strong></p>";6-1-2026 14:14;3;Socket Rails;Sockets & Accessories>Socket Rails;45;0;;33;1;https://sptools.eu/1399/socket-rail-set-11pc-1-4-3-8dr-torx.jpg;https://sptools.eu/1399/socket-rail-set-11pc-1-4-3-8dr-torx.jpg;https://sptools.eu/1399/socket-rail-set-11pc-1-4-3-8dr-torx.jpg;;;;;;;;;;;
35;"SOCKET RAIL 1/4"" & 3/8""DR INHEX METRIC 9PC"; 38.99 ;19;https://sptools.eu/img/tmp/product_mini_4566.jpg;SP20545;9330514024003;"<p><strong>FEATURES:</strong><br />• Manufactured from Chrome Vanadium steel ensures high quality and durable sockets.<br />• High polish finishes provide for an easy clean-up.<br />• Twin knurling allows for improved grip, especially useful in oily/greasy conditions.<br />• All SP sockets and accessories meet or exceed ANSI &amp; DIN standards.</p><p><strong><span>SET INCLUDES:</span></strong>  <br /><strong>1/4”Dr Inhex Sockets<br /></strong>• Metric - 3, 4, 5 &amp; 6mm<br /><br /><strong>3/8”Dr Inhex Sockets<br /></strong>• Metric - 6, 7, 8, 9 &amp; 10mm<br /><br /><strong>1 x Socket Rail</strong></p>";11-1-2026 22:01;3;Socket Rails;Sockets & Accessories>Socket Rails;45;0;;26;1;https://sptools.eu/4566/socket-rail-set-9pc-1-4-3-8dr-inhex-metric.jpg;https://sptools.eu/4566/socket-rail-set-9pc-1-4-3-8dr-inhex-metric.jpg;https://sptools.eu/4566/socket-rail-set-9pc-1-4-3-8dr-inhex-metric.jpg;;;;;;;;;;;
36;"SOCKET RAIL 1/4"" & 3/8""DR 10PC INHEX SAE"; 38.99 ;19;https://sptools.eu/img/tmp/product_mini_4567.jpg;SP20546;9330514024119;"<p><strong>FEATURES:</strong><br />• Manufactured from Chrome Vanadium steel ensures high quality and durable sockets.<br />• High polish finishes provide for an easy clean-up.<br />• Twin knurling allows for improved grip, especially useful in oily/greasy conditions.<br />• All SP sockets and accessories meet or exceed ANSI &amp; DIN standards.</p><p><strong><span>SET INCLUDES:</span></strong>  <br /><strong>1/4”Dr Inhex Sockets<br /></strong>• SAE - 1/8, 5/32, 3/16, 7/32 &amp; 1/4”</p><p><strong>3/8”Dr Inhex Sockets<br /></strong>• SAE - 3/16, 7/32, 1/4, 5/16 &amp; 3/8”<br /><br /><strong>1 x Socket Rail</strong></p>";6-1-2026 14:13;3;;;43;0;;28;1;https://sptools.eu/4567/socket-rail-set-10pc-1-4-3-8dr-inhex-sae.jpg;https://sptools.eu/4567/socket-rail-set-10pc-1-4-3-8dr-inhex-sae.jpg;https://sptools.eu/4567/socket-rail-set-10pc-1-4-3-8dr-inhex-sae.jpg;;;;;;;;;;;
37;SOCKET & SPANNER SET 3/8DR 16PC E TORX; 79.18 ;18;https://sptools.eu/img/tmp/product_mini_6680.jpg;SP20210;9330514021507;"<p><strong>FEATURES:<br /></strong>• Ideal for applications where specialised E-Torx bits are required.<br />• Manufactured from Chrome Vanadium steel ensures high quality and durablity<br />• High polish finishes provide for an easy clean-up.<br />• Twin knurling on sockets allows for improved grip, especially useful in oily/greasy conditions.<br />• All SP sockets and accessories meet or exceed ANSI &amp; DIN standards.</p>
<p><strong><span>SET INCLUDES:</span></strong> <br /><strong>3/8”Dr E-Torx Sockets - 12pc<br /></strong>• E-TORX - E4, E5, E6, E7, E8, E10, E11, E12, E14, E16, E18, E20</p>
<p><strong>3/8”Dr E-Torx Spanners - 4pc<br /></strong>• E-TORX - E6xE8, E10xE12, E14xE16, E18xE20</p>
<p><br /><br /></p>
<p></p>";11-1-2026 22:01;3;Socket Sets;Sockets & Accessories>Socket Sets;60;0;;54;1;https://sptools.eu/6680/socket-spanner-set-16pc-3-8dr-e-torx.jpg;https://sptools.eu/6680/socket-spanner-set-16pc-3-8dr-e-torx.jpg;https://sptools.eu/6680/socket-spanner-set-16pc-3-8dr-e-torx.jpg;;;;;;;;;;;
38;"SOCKET 1/4"" 4MM 12-POINT"; 3.82 ;4;https://sptools.eu/img/tmp/product_mini_4484.jpg;SP21004;9330514008294;"<div>
  <ul>
    <li>12 Point</li>
    <li>Constructed with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
    <li>Meets and exceeds international ANSI and DIN standards</li>
    <li>Features a tough triple chrome finish</li>
    <li>Comes with a Lifetime Warranty</li>
  </ul>
</div>";6-1-2026 14:12;3;Sockets;"Sockets & Accessories>Sockets Individual>1/4"" Series>Sockets";63;0;;3,82;1;https://sptools.eu/4484/socket-1-4-dr-12-pt-metric-4mm.jpg;https://sptools.eu/4484/socket-1-4-dr-12-pt-metric-4mm.jpg;https://sptools.eu/4484/socket-1-4-dr-12-pt-metric-4mm.jpg;;;;;;;;;;;
39;"SOCKET 1/4"" 4MM 6-POINT"; 3.82 ;2;https://sptools.eu/img/tmp/product_mini_4495.jpg;SP21504;9330514014707;"<div>
  <ul>
    <li>6 Point</li>
    <li>Constructed with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
    <li>Complies with and surpasses international ANSI &amp; DIN standards</li>
    <li>Durable triple chrome finish</li>
    <li>Backed by a Lifetime Warranty</li>
  </ul>
</div>";6-1-2026 13:54;3;Sockets;"Sockets & Accessories>Sockets Individual>1/4"" Series>Sockets";63;0;;3,82;1;https://sptools.eu/4495/socket-1-4dr-6pt-metric-4mm.jpg;https://sptools.eu/4495/socket-1-4dr-6pt-metric-4mm.jpg;https://sptools.eu/4495/socket-1-4dr-6pt-metric-4mm.jpg;;;;;;;;;;;
40;SOCKET 1/4DR 4MM DEEP 12PT METRIC; 4.99 ;3;https://sptools.eu/img/tmp/product_mini_4463.jpg;SP21604;9330514024133;"<div>
  <ul>
    <li>12 Point</li>
    <li>Constructed with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
    <li>Meets and surpasses international ANSI and DIN standards</li>
    <li>Durable triple chrome finish</li>
    <li>Backed by a Lifetime Warranty</li>
  </ul>
</div>";6-1-2026 13:52;3;Sockets;"Sockets & Accessories>Sockets Individual>1/4"" Series>Sockets";63;0;;4,99;1;https://sptools.eu/4463/socket-1-4dr-12pt-metric-deep-4mm.jpg;https://sptools.eu/4463/socket-1-4dr-12pt-metric-deep-4mm.jpg;https://sptools.eu/4463/socket-1-4dr-12pt-metric-deep-4mm.jpg;;;;;;;;;;;
41;SOCKET 1/4DR 4MM DEEP 6PT METRIC; 4.99 ;6;https://sptools.eu/img/tmp/product_mini_4473.jpg;SP21404;9330514010020;"<div>
  <ul>
    <li>6 Point</li>
    <li>Constructed with Chrome Vanadium Steel (Cr-V) for maximum durability</li>
    <li>Complies with and surpasses international ANSI &amp; DIN standards</li>
    <li>Features a tough triple chrome finish</li>
    <li>Backed by a Lifetime Warranty</li>
  </ul>
</div>";6-1-2026 13:56;3;Sockets;"Sockets & Accessories>Sockets Individual>1/4"" Series>Sockets";63;0;;4,99;1;https://sptools.eu/4473/socket-1-4dr-6pt-metric-deep-4mm.jpg;https://sptools.eu/4473/socket-1-4dr-6pt-metric-deep-4mm.jpg;https://sptools.eu/4473/socket-1-4dr-6pt-metric-deep-4mm.jpg;;;;;;;;;;;
42;SOCKET 1/4 DR T10 TORX; 4.05 ;5;https://sptools.eu/img/tmp/product_mini_4442.jpg;SP21110;9330514008485;"<div>
  <ul>
    <li>Get the Torx Bit you need</li>
    <li>Made with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
    <li>Meets and exceeds international ANSI &amp; DIN standards</li>
    <li>Features a tough triple chrome finish</li>
    <li>Comes with a Lifetime Warranty for peace of mind</li>
  </ul>
</div>";6-1-2026 14:07;3;Bit Sockets;"Sockets & Accessories>Sockets Individual>1/4"" Series>Bit Sockets";64;0;;4,05;1;https://sptools.eu/4442/socket-1-4-dr-torx-t10.jpg;https://sptools.eu/4442/socket-1-4-dr-torx-t10.jpg;https://sptools.eu/4442/socket-1-4-dr-torx-t10.jpg;;;;;;;;;;;
43;SOCKET UNIVERSAL JOINT 1/4DR; 8.69 ;6;https://sptools.eu/img/tmp/product_mini_4436.jpg;SP21320;9330514008683;"<div>
  <ul>
    <li>Need to reach those tricky nuts and bolts? Our Flexible Joint tool is perfect for the job!</li>
    <li>Made from Chrome Vanadium Steel (Cr-V) for maximum durability</li>
    <li>Meets and surpasses international ANSI and DIN standards</li>
    <li>Features a tough triple chrome finish for long-lasting use</li>
    <li>Comes with a Lifetime Warranty for peace of mind</li>
  </ul>
</div>";6-1-2026 13:57;3;Extension bars & accessories;Sockets & Accessories>Extension bars & accessories;398;0;;8,69;1;https://sptools.eu/4436/socket-universal-joint-1-4dr.jpg;https://sptools.eu/4436/socket-universal-joint-1-4dr.jpg;https://sptools.eu/4436/socket-universal-joint-1-4dr.jpg;;;;;;;;;;;
45;"RATCHET 1/4"" 45-Teeth"; 34.91 ;15;https://sptools.eu/img/tmp/product_mini_4423.jpg;SP21305;9330514008614;"<div>
  <ul>
    <li>45 Teeth</li>
    <li>Strong ratchet gear teeth for maximum torque</li>
    <li>Reversible</li>
    <li>Quick release feature</li>
    <li>Chrome Vanadium Steel (Cr-V) for durability</li>
    <li>Durable triple chrome finish</li>
    <li>Meets and exceeds international ANSI and DIN standards</li>
    <li>Lifetime Warranty</li>
  </ul>
</div>";6-1-2026 13:57;3;Ratchets;Sockets & Accessories>Ratchets;396;0;;24;1;https://sptools.eu/4423/ratchet-1-4dr-45t.jpg;https://sptools.eu/4423/ratchet-1-4dr-45t.jpg;https://sptools.eu/4423/ratchet-1-4dr-45t.jpg;;;;;;;;;;;
47;FLEX HANDLE 1/4DR 145MM; 19.77 ;12;https://sptools.eu/img/tmp/product_mini_4424.jpg;SP21310;9330514008638;"<div>
  <ul>
    <li>Size: 145mm</li>
    <li>Features a hinged joint head</li>
    <li>Comfortable soft grip handle</li>
    <li>Made with durable Chrome Vanadium Steel (Cr-V)</li>
    <li>Meets and exceeds international ANSI and DIN standards</li>
    <li>Comes with a lifetime warranty</li>
  </ul>
</div>";6-1-2026 13:57;3;Flex Handles;Sockets & Accessories>Flex Handles;397;0;;14;1;https://sptools.eu/4424/flex-handle-1-4dr-145mm.jpg;https://sptools.eu/4424/flex-handle-1-4dr-145mm.jpg;https://sptools.eu/4424/flex-handle-1-4dr-145mm.jpg;;;;;;;;;;;
48;SOCKET 3/8DR METRIC 6MM 12PT; 4.05 ;7;https://sptools.eu/img/tmp/product_mini_4582.jpg;SP22006;9330514008706;"<div>
  <ul>
    <li>12 Point</li>
    <li>Constructed with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
    <li>Meets and surpasses international ANSI and DIN standards</li>
    <li>Durable triple chrome finish</li>
    <li>Backed by a Lifetime Warranty</li>
  </ul>
</div>";6-1-2026 13:50;3;Sockets;"Sockets & Accessories>Sockets Individual>3/8"" Series>Sockets";67;0;;4,05;1;https://sptools.eu/4582/socket-3-8dr-12pt-metric-6mm.jpg;https://sptools.eu/4582/socket-3-8dr-12pt-metric-6mm.jpg;https://sptools.eu/4582/socket-3-8dr-12pt-metric-6mm.jpg;;;;;;;;;;;
49;SOCKET 3/8DR METRIC 6MM 6PT; 4.05 ;6;https://sptools.eu/img/tmp/product_mini_4581.jpg;SP22506;9330514014899;"<div>
  <ul>
    <li>6 Point</li>
    <li>Constructed with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
    <li>Meets and surpasses international ANSI and DIN standards</li>
    <li>Features a tough triple chrome finish</li>
    <li>Backed by a Lifetime Warranty</li>
  </ul>
</div>";6-1-2026 13:38;3;Sockets;"Sockets & Accessories>Sockets Individual>3/8"" Series>Sockets";67;0;;4,05;1;https://sptools.eu/4581/socket-3-8dr-6pt-metric-6mm.jpg;https://sptools.eu/4581/socket-3-8dr-6pt-metric-6mm.jpg;https://sptools.eu/4581/socket-3-8dr-6pt-metric-6mm.jpg;;;;;;;;;;;
50;SOCKET 3/8DR 10MM DEEP METRIC 12PT; 6.90 ;13;https://sptools.eu/img/tmp/product_mini_4615.jpg;SP22410;9330514009819;"<div>
  <ul>
    <li>12 Point</li>
    <li>Constructed with Chrome Vanadium Steel (Cr-V) for maximum durability</li>
    <li>Complies with and surpasses international ANSI &amp; DIN standards</li>
    <li>Durable triple chrome finish</li>
    <li>Backed by a Lifetime Warranty</li>
  </ul>
</div>";6-1-2026 13:41;3;Sockets;"Sockets & Accessories>Sockets Individual>3/8"" Series>Sockets";67;0;;6,9;1;https://sptools.eu/4615/socket-3-8dr-12pt-deep-metric-10mm.jpg;https://sptools.eu/4615/socket-3-8dr-12pt-deep-metric-10mm.jpg;https://sptools.eu/4615/socket-3-8dr-12pt-deep-metric-10mm.jpg;;;;;;;;;;;
51;SOCKET 3/8DR 8MM DEEP METRIC 6PT; 6.90 ;6;https://sptools.eu/img/tmp/product_mini_9482.jpg;SP22608;9330514038253;"<div>
<ul>
<li>6 Point</li>
<li>Constructed with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
<li>Meets and surpasses international ANSI and DIN standards</li>
<li>Features a tough triple chrome finish</li>
<li>Comes with a Lifetime Warranty</li>
</ul>
</div>";11-1-2026 22:01;3;Sockets;"Sockets & Accessories>Sockets Individual>3/8"" Series>Sockets";67;0;;6,9;1;https://sptools.eu/9482/socket-3-8dr-6pt-deep-metric-8mm.jpg|https://sptools.eu/4625/socket-3-8dr-6pt-deep-metric-8mm.jpg;https://sptools.eu/9482/socket-3-8dr-6pt-deep-metric-8mm.jpg;https://sptools.eu/4625/socket-3-8dr-6pt-deep-metric-8mm.jpg;https://sptools.eu/4625/socket-3-8dr-6pt-deep-metric-8mm.jpg;;;;;;;;;;
52;SOCKET 3/8 DR SPARK PLUG 5/8AF 6-POINT; 7.56 ;20;https://sptools.eu/img/tmp/product_mini_4704.jpg;SP22491;9330514009994;"<div>
  <ul>
    <li>Comes in 2 sizes: 5/8 &amp; 13/16</li>
    <li>6 Point design</li>
    <li>Made with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
    <li>Meets and exceeds international ANSI &amp; DIN standards</li>
    <li>Durable triple chrome finish</li>
    <li>Backed by a Lifetime Warranty</li>
  </ul>
</div>";6-1-2026 13:38;3;Sparkplug Sockets;Sockets & Accessories>Sparkplug Sockets;72;0;;7,56;1;https://sptools.eu/4704/socket-3-8-dr-6pt-spark-plug-5-8af.jpg;https://sptools.eu/4704/socket-3-8-dr-6pt-spark-plug-5-8af.jpg;https://sptools.eu/4704/socket-3-8-dr-6pt-spark-plug-5-8af.jpg;;;;;;;;;;;
53;SOCKET 3/8DR E4 E TORX; 7.48 ;7;https://sptools.eu/img/tmp/product_mini_4568.jpg;SP22164;9330514021552;"<div>
  <ul>
    <li>Get your hands on the E-Torx Socket!</li>
    <li>Made with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
    <li>Meets and exceeds international ANSI &amp; DIN standards</li>
    <li>Features a tough triple chrome finish</li>
    <li>Comes with a Lifetime Warranty for peace of mind</li>
  </ul>
</div>";6-1-2026 13:46;3;Sockets;"Sockets & Accessories>Sockets Individual>3/8"" Series>Sockets";67;0;;7,48;1;https://sptools.eu/4568/socket-3-8dr-e-torx-e4.jpg;https://sptools.eu/4568/socket-3-8dr-e-torx-e4.jpg;https://sptools.eu/4568/socket-3-8dr-e-torx-e4.jpg;;;;;;;;;;;
54;SOCKET 3/8DR T27 TORX; 5.68 ;9;https://sptools.eu/img/tmp/product_mini_4687.jpg;SP22127;9330514009536;"<div>
  <ul>
    <li>Get your hands on the Torx Bit</li>
    <li>Made with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
    <li>Meets and exceeds international ANSI &amp; DIN standards</li>
    <li>Features a tough triple chrome finish</li>
    <li>Comes with a Lifetime Warranty for peace of mind</li>
  </ul>
</div>";6-1-2026 13:47;3;Bit Sockets;"Sockets & Accessories>Sockets Individual>3/8"" Series>Bit Sockets";68;0;;5,68;1;https://sptools.eu/4687/socket-3-8dr-torx-t27.jpg;https://sptools.eu/4687/socket-3-8dr-torx-t27.jpg;https://sptools.eu/4687/socket-3-8dr-torx-t27.jpg;;;;;;;;;;;
55;SOCKET 3/8DR 6MM INHEX METRIC; 6.39 ;9;https://sptools.eu/img/tmp/product_mini_9287.jpg;SP22206;9330514009598;"<div>
<ul>
<li>Constructed with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
<li>Meets and surpasses international ANSI and DIN standards</li>
<li>Features a tough triple chrome finish</li>
<li>Comes with a Lifetime Warranty for peace of mind</li>
</ul>
</div>";6-1-2026 13:44;3;Bit Sockets;"Sockets & Accessories>Sockets Individual>3/8"" Series>Bit Sockets";68;0;;6,39;1;https://sptools.eu/9277/socket-3-8dr-inhex-metric-6mm.jpg|https://sptools.eu/9287/socket-3-8dr-inhex-metric-6mm.jpg;https://sptools.eu/9277/socket-3-8dr-inhex-metric-6mm.jpg;https://sptools.eu/9287/socket-3-8dr-inhex-metric-6mm.jpg;https://sptools.eu/9287/socket-3-8dr-inhex-metric-6mm.jpg;;;;;;;;;;
56;SOCKET EXTENSION BAR 3/8DR 75MM; 5.68 ;14;https://sptools.eu/img/tmp/product_mini_4558.jpg;SP22315;9330514009734;"<div>
  <ul>
    <li>Comes in 3 Sizes: 75mm, 150mm &amp; 250mm</li>
    <li>Extensions are super handy for getting to those tricky nuts and bolts in engine bays</li>
    <li>Made with Chrome Vanadium Steel (Cr-V) for long-lasting durability</li>
    <li>Meets and surpasses international ANSI &amp; DIN standards</li>
    <li>Durable triple chrome finish</li>
    <li>Backed by a Lifetime Warranty</li>
  </ul>
</div>";6-1-2026 13:42;3;Extension bars & accessories;Sockets & Accessories>Extension bars & accessories;398;0;;5,68;1;https://sptools.eu/4558/3-8dr-extension-bar-75mm.jpg;https://sptools.eu/4558/3-8dr-extension-bar-75mm.jpg;https://sptools.eu/4558/3-8dr-extension-bar-75mm.jpg;;;;;;;;;;;
